word,pos,phonetic,meaning,example,start_date,review_count,next_review
agreement,n,/əˈɡriː.mənt/,"sự thỏa thuận, hợp đồng","They reached an agreement after long discussions.",07-11-2025,0,08-11-2025
assurance,n;v,/əˈʃʊr.əns/,"sự đảm bảo, đảm bảo","He gave his assurance that the project would be completed on time.",07-11-2025,0,08-11-2025
abide by,v,/əˈbaɪd baɪ/,"tuân thủ, tuân theo","All employees must abide by the company rules.",07-11-2025,0,08-11-2025
according to,prep,/əˈkɔːr.dɪŋ ˌtuː/,"theo như, dựa vào","According to the report, sales increased by 10%.",07-11-2025,0,08-11-2025
additional,adj,/əˈdɪʃ.ən.əl/,"thêm vào, phụ thêm","We need additional staff for the weekend.",07-11-2025,0,08-11-2025
adjust,v,/əˈdʒʌst/,"điều chỉnh","You should adjust the seat before driving.",07-11-2025,0,08-11-2025
annual,adj,/ˈæn.ju.əl/,"hằng năm","We have an annual meeting every December.",07-11-2025,0,08-11-2025
area,n,/ˈer.i.ə/,"khu vực, lĩnh vực, diện tích","This area is famous for its natural beauty.",07-11-2025,0,08-11-2025
assess,v,/əˈses/,"đánh giá, định giá","The manager will assess your performance quarterly.",07-11-2025,0,08-11-2025
cancellation,n,/ˌkæn.səlˈeɪ.ʃən/,"sự hủy bỏ, chấm dứt","The flight cancellation affected many passengers.",07-11-2025,0,08-11-2025
determine,v,/dɪˈtɜːrmɪn/,"xác định","The test results will determine your level.",07-11-2025,0,08-11-2025
engage,v,/ɪnˈɡeɪdʒ/,"tham dự, tham gia","He was engaged in an important meeting.",07-11-2025,0,08-11-2025
establish,v,/ɪˈstæblɪʃ/,"thành lập, thiết lập","They established the company in 1995.",07-11-2025,0,08-11-2025
obligate,v,/ˈɑːblɪɡeɪt/,"bắt buộc","The contract obligates the company to pay within 30 days.",07-11-2025,0,08-11-2025
party,n,/ˈpɑːrti/,"các bên tham gia hợp đồng","Both parties signed the agreement.",07-11-2025,0,08-11-2025
provision,n,/prəˈvɪʒ.ən/,"sự cung cấp, điều khoản","The contract includes a provision for overtime pay.",07-11-2025,0,08-11-2025
resolve,v,/rɪˈzɔːlv/,"giải quyết, quyết định","They resolved the issue quickly.",07-11-2025,0,08-11-2025
specific,adj,/spəˈsɪf.ɪk/,"cụ thể","Please give me specific details about the project.",07-11-2025,0,08-11-2025
attract,v,/əˈtrækt/,"thu hút, hấp dẫn","Good marketing attracts more customers.",07-11-2025,0,08-11-2025
awareness,n,/əˈwer.nəs/,"sự nhận thức, độ nhận diện","The campaign increased public awareness about pollution.",07-11-2025,0,08-11-2025
beneficial,adj,/ˌben.əˈfɪʃ.əl/,"có ích, có lợi","Exercise is beneficial to your health.",07-11-2025,0,08-11-2025
boost,v;n,/buːst/,"đẩy mạnh, kích thích, sự tăng lên","We need to boost sales this quarter.",07-11-2025,0,08-11-2025
bottom line,n,/ˌbɑː.t̬əm ˈlaɪn/,"điểm mấu chốt, cốt yếu","The bottom line is that we need more revenue.",07-11-2025,0,08-11-2025
briefing,n,/ˈbriː.fɪŋ/,"sự chỉ dẫn, hướng dẫn","The manager gave a short briefing before the trip.",07-11-2025,0,08-11-2025
budget,n,/ˈbʌdʒ.ɪt/,"ngân sách","We must stay within the budget.",07-11-2025,0,08-11-2025
currently,adv,/ˈkɝː.ənt.li/,"hiện thời, hiện nay","He is currently studying abroad.",07-11-2025,0,08-11-2025
convince,v,/kənˈvɪns/,"thuyết phục","She convinced me to join the team.",07-11-2025,0,08-11-2025
consume,v,/kən’sju:m/,"tiêu thụ, sử dụng","Americans consume a lot of coffee.",07-11-2025,0,08-11-2025
competition,n,/ˌkɑːm.pəˈtɪʃ.ən/,"sự cạnh tranh, cuộc thi","Competition in the market is increasing.",07-11-2025,0,08-11-2025
compare,v,/kəmˈper/,"so sánh, đối chiếu","You should compare prices before buying.",07-11-2025,0,08-11-2025
fad,n,/fæd/,"mốt nhất thời","That hairstyle was just a fad last year.",07-11-2025,0,08-11-2025
inspiration,n,/ˌɪn.spəˈreɪ.ʃən/,"nguồn cảm hứng","Her speech was a great inspiration to everyone.",07-11-2025,0,08-11-2025
market,n,/ˈmɑːrkɪt/,"thị trường","The company is expanding into new markets.",07-11-2025,0,08-11-2025
productive,adj,/prəˈdʌk.tɪv/,"năng suất","Our team had a very productive week.",07-11-2025,0,08-11-2025
persuasion,n,/pɚˈsweɪ.ʒən/,"sự thuyết phục","He used gentle persuasion to change her mind.",07-11-2025,0,08-11-2025
satisfaction,n,/ˌsæt̬.ɪsˈfæk.ʃən/,"sự hài lòng","Customer satisfaction is our top priority.",07-11-2025,0,08-11-2025
